Date,Price,Open,High,Low,Vol.,Change %
"Jun 25, 2024",226.35,232.8,232.9,226.1,0.02K,-2.10%
"Jun 24, 2024",231.2,237.15,237.2,231,0.02K,-2.86%
"Jun 23, 2024",238,231.6,237.4,231.6,0.06K,0.0505
"Jun 20, 2024",226.55,229.4,232.65,226.55,0.05K,-1.61%
"Jun 19, 2024",230.25,228.8,236.9,228,0.39K,0.0175
"Jun 17, 2024",226.3,227.5,228.65,222.5,9.74K,-0.37%
"Jun 16, 2024",227.15,225.7,227.55,223.05,9.36K,0.0134
"Jun 13, 2024",224.15,225.5,227.35,222.95,10.93K,-0.84%
"Jun 12, 2024",226.05,224.35,229.3,224.1,13.55K,0.0076
"Jun 11, 2024",224.35,219.35,227.35,215,33.75K,0.0172
"Jun 10, 2024",220.55,221.6,224.7,218.85,30.59K,-0.38%
"Jun 09, 2024",221.4,225,226.45,219.05,33.33K,-1.51%
"Jun 06, 2024",224.8,233.45,234.1,223.6,49.02K,-4.01%
"Jun 05, 2024",234.2,232,239.8,231.8,30.87K,0.0097
"Jun 04, 2024",231.95,230.25,233.25,226.35,29.24K,-0.83%
"Jun 03, 2024",233.9,226.1,234.2,223.55,24.66K,0.0324
"Jun 02, 2024",226.55,221.15,229.3,220.9,18.58K,0.0189
"May 30, 2024",222.35,234.1,237.75,220.55,29.76K,-4.57%
"May 29, 2024",233,228.25,235.45,225.5,20.87K,0.0155
"May 28, 2024",229.45,229,236.25,228.05,25.75K,-0.65%
"May 27, 2024",230.95,220,233.2,219.25,29.78K,0.0582
"May 23, 2024",218.25,215.3,220.2,213.05,15.83K,0.0121
"May 22, 2024",215.65,221,221.8,212.05,24.02K,-2.18%
"May 21, 2024",220.45,218.65,221.15,216.65,22.05K,0.015
"May 20, 2024",217.2,207,219.1,206.35,29.46K,0.0377
"May 19, 2024",209.3,205.9,207.95,203.65,19.96K,0.0055
"May 16, 2024",208.15,198.4,207.15,197.9,18.36K,0.0431
"May 15, 2024",199.55,199.4,200.35,196.75,10.99K,-0.84%
"May 14, 2024",201.25,202.3,202.3,202.3,0.00K,-0.79%
"May 13, 2024",202.85,199.25,199.25,199,0.00K,0.0122
"May 12, 2024",200.4,200,200,200,0.00K,-1.96%
"May 09, 2024",204.4,201,203.6,198.8,20.65K,0.0034
"May 08, 2024",203.7,202.3,205.4,202.3,0.00K,0.0172
"May 07, 2024",200.25,201.65,201.65,200.2,0.01K,0.0063
"May 06, 2024",199,196.6,196.6,196.6,0.00K,-0.85%
"May 05, 2024",200.7,203,203,199.45,0.01K,-2.53%
"May 02, 2024",205.9,207.75,208.95,207.5,0.07K,-1.32%
"May 01, 2024",208.65,218,218,218,0.01K,-4.75%
"Apr 30, 2024",219.05,222.4,222.4,215.7,0.01K,-0.73%
"Apr 29, 2024",220.65,215.6,217.75,215.6,0.02K,-5.52%
"Apr 28, 2024",233.55,234,234,234,0.02K,0.0128
"Apr 25, 2024",230.6,232.5,232.5,232.5,0.00K,-0.58%
"Apr 24, 2024",231.95,230.85,231.5,230.85,0.03K,0.0153
"Apr 23, 2024",228.45,229.25,229.25,226.35,0.07K,0.0176
"Apr 22, 2024",224.5,226.65,226.65,224.1,0.13K,-3.09%
"Apr 21, 2024",231.65,240.95,240.95,229.8,0.95K,-4.04%
"Apr 18, 2024",241.4,243.65,247.75,238.2,5.19K,0.0065
"Apr 17, 2024",239.85,252.1,253.7,239.5,5.47K,-3.27%
"Apr 16, 2024",247.95,237.4,249.3,236.4,8.75K,0.0473
"Apr 15, 2024",236.75,235.75,239.5,232.85,12.61K,0.0225
"Apr 14, 2024",231.55,221.65,235.45,219.3,15.67K,0.0307
"Apr 11, 2024",224.65,220.95,236.2,219.5,31.23K,0.0195
"Apr 10, 2024",220.35,215.3,221.8,214.1,26.11K,0.0266
"Apr 09, 2024",214.65,213.85,215.9,211.55,24.66K,0.0052
"Apr 08, 2024",213.55,209.6,214.75,209.6,40.36K,0.0116
"Apr 07, 2024",211.1,212.15,216.4,209.45,45.97K,-0.66%
"Apr 04, 2024",212.5,205.1,214,204.2,45.07K,0.0278
"Apr 03, 2024",206.75,206.3,207.95,202.5,32.10K,0.0155
"Apr 02, 2024",203.6,196.7,207.15,196.3,40.34K,0.0296
"Apr 01, 2024",197.75,190.95,198.4,190.75,39.26K,0.031
"Mar 31, 2024",191.8,188,192.7,187.7,19.15K,0.0156
"Mar 27, 2024",188.85,191.05,191.2,187.55,21.24K,-0.94%
"Mar 26, 2024",190.65,188.05,192.5,187.15,32.26K,0.0138
"Mar 25, 2024",188.05,185.65,189.45,185.3,21.86K,0.0129
"Mar 24, 2024",185.65,185.15,186.25,183.35,19.00K,0.0043
"Mar 21, 2024",184.85,186,188.2,184.55,21.36K,-0.46%
"Mar 20, 2024",185.7,183.85,188.4,183.05,23.12K,0.0181
"Mar 19, 2024",182.4,182.65,184.4,181.65,14.72K,-0.36%
"Mar 18, 2024",183.05,181.25,183.35,179.35,21.06K,0.0066
"Mar 17, 2024",181.85,182.75,186.15,181.4,16.94K,-0.55%
"Mar 14, 2024",182.85,183.95,185.1,182.05,15.28K,-4.44%
"Mar 13, 2024",191.35,190,191.25,189.05,0.02K,-0.16%
"Mar 12, 2024",191.65,195.7,196,192,0.04K,-1.92%
"Mar 11, 2024",195.4,196.7,197.9,195.35,0.01K,0.0054
"Mar 10, 2024",194.35,193.3,194.9,191.5,0.03K,0.0154
"Mar 07, 2024",191.4,195.85,195.85,191,0.00K,-3.50%
"Mar 06, 2024",198.35,186.7,194.75,184.75,30.46K,0.0201
"Mar 05, 2024",194.45,194.8,194.9,190,0.04K,-0.28%
"Mar 04, 2024",195,198.75,198.75,195.8,0.03K,-1.22%
